,winner_index
182,0
1245,0
880,0
170,1
1171,1
940,0
16,0
605,0
2256,0
2367,0
1744,0
1560,0
985,1
1945,0
926,1
595,0
346,1
855,0
102,0
1472,0
488,0
786,0
2105,0
1514,0
380,1
2130,0
432,0
1273,0
852,0
386,1
272,1
181,1
392,1
851,1
2238,0
427,0
1119,1
572,1
806,0
530,1
405,0
1416,0
241,1
1031,1
2363,0
689,0
304,1
1005,1
25,0
2332,0
896,0
179,1
1242,0
2372,0
1711,0
1128,0
344,1
715,1
1521,0
2356,0
2257,0
1298,0
1290,0
175,0
456,1
495,1
613,0
1326,0
183,0
627,1
2199,0
606,0
1445,0
77,1
1544,0
1110,1
1862,0
1716,0
378,0
1082,1
1158,0
1094,1
1868,0
937,1
2306,0
890,1
426,0
1276,0
1072,1
2296,0
1074,1
1701,0
211,1
93,0
604,0
111,1
1342,1
48,1
690,1
1177,1
254,1
1798,0
2230,0
619,0
545,0
1479,0
1185,0
771,1
1175,0
1651,0
214,0
1907,0
2044,0
1465,0
812,1
1077,1
791,0
200,1
847,0
1339,1
1101,1
192,1
1872,0
429,0
271,0
2135,0
1187,0
1247,0
299,0
976,1
831,0
652,1
865,1
190,1
515,1
371,1
2005,0
632,1
1317,1
425,1
76,0
299,1
1036,0
1084,0
281,0
783,1
1207,1
1220,0
237,0
762,0
1922,0
670,1
1853,0
126,1
2221,0
229,1
1080,1
2265,0
813,1
1211,1
1113,0
1105,0
303,1
834,1
1328,0
748,0
151,1
1315,1
47,0
290,1
229,0
672,0
714,1
1375,0
1297,1
623,1
352,1
460,1
1144,1
1143,0
566,0
539,0
1295,1
1655,0
939,1
1482,0
9,1
374,0
1076,1
1208,0
1357,0
1389,0
88,0
870,1
2247,0
698,1
903,1
915,0
1874,0
1292,1
59,0
526,0
1263,0
638,1
669,1
1026,1
890,0
2110,0
668,0
1941,0
1105,1
738,1
2092,0
931,0
1401,0
1345,0
929,0
933,0
2165,0
781,1
136,0
11,0
2362,0
1500,0
802,1
1402,0
407,1
445,0
1189,1
1675,0
848,0
1203,0
785,0
1066,0
749,0
1318,0
980,1
1234,1
698,0
2326,0
1502,0
505,0
1840,0
2,1
844,0
167,1
528,1
11,1
762,1
805,0
1747,0
430,1
411,1
2169,0
113,1
219,1
1404,0
647,0
657,0
798,0
1100,1
620,1
1121,1
2305,0
1896,0
1746,0
1710,0
1569,0
740,0
1227,1
1089,1
525,1
55,1
630,0
562,0
1299,0
1611,0
747,1
36,0
2330,0
653,1
2129,0
765,0
56,1
991,1
452,1
1221,1
362,0
1083,1
460,0
1900,0
2301,0
1414,0
1017,1
2314,0
308,0
1870,0
316,1
518,0
349,0
1136,0
217,1
2244,0
614,1
1844,0
1299,1
343,1
959,0
1541,0
930,1
1343,0
120,1
2280,0
83,0
296,1
841,0
7,1
365,0
21,0
1205,1
1096,0
115,0
936,1
87,0
2026,0
442,0
160,1
307,1
1156,0
1773,0
534,1
570,0
599,0
803,1
1494,0
578,0
883,0
950,1
2036,0
203,1
2100,0
13,1
1702,0
1230,0
1349,0
274,0
673,1
569,1
248,0
2349,0
69,1
1432,0
459,0
836,1
385,0
1323,1
1302,0
1951,0
1341,1
291,1
1335,1
161,1
2166,0
1114,1
252,1
423,0
1452,0
1186,0
583,1
1889,0
579,1
324,0
139,1
1691,0
1034,1
342,1
374,1
790,1
147,1
748,1
600,0
1098,1
1768,0
317,0
81,0
1340,0
472,1
934,1
822,0
1331,1
1035,1
1319,0
1243,0
1260,1
0,1
1674,0
257,1
2334,0
1338,1
1405,0
1928,0
1620,0
715,0
2182,0
1595,0
1216,1
453,1
1308,1
624,0
1051,0
71,0
22,1
1527,0
1867,0
282,0
338,1
320,1
10,1
41,1
961,1
1728,0
561,0
744,1
535,0
1047,1
575,1
1303,0
168,1
1420,0
1665,0
1515,0
1311,1
2359,0
1351,0
788,1
1274,1
684,1
1736,0
674,0
1686,0
164,0
1132,0
621,0
109,0
6,1
373,1
1008,1
1929,0
1287,0
568,0
652,0
4,0
172,1
312,1
2376,0
85,0
300,0
1075,1
787,0
14,1
489,1
407,0
369,1
275,0
2055,0
1103,0
314,1
487,1
135,1
134,1
1122,0
1286,0
2033,0
866,1
478,1
722,1
792,0
95,0
454,0
313,1
597,0
343,0
541,1
2346,0
2212,0
349,1
1323,0
104,0
2070,0
808,0
815,1
1990,0
1583,0
201,1
1050,1
834,0
218,0
602,1
2194,0
580,0
100,1
1488,0
1265,1
850,1
46,1
231,0
2076,0
2151,0
125,1
1071,0
419,1
1334,0
1344,1
775,1
1152,0
709,1
1204,0
1164,0
609,1
419,0
944,0
2303,0
1297,0
1799,0
526,1
353,0
2302,0
889,1
1980,0
1238,0
225,1
468,1
1060,1
287,1
1765,0
1629,0
559,0
642,0
2001,0
740,1
463,1
1198,1
1680,0
210,0
1117,0
1992,0
1189,0
1269,0
728,1
297,1
239,1
2174,0
159,1
879,1
2127,0
1384,0
1800,0
72,1
975,1
272,0
339,1
1372,0
1307,1
1133,0
691,1
731,0
74,1
2266,0
158,0
790,0
938,1
1559,0
491,1
473,1
1045,1
732,1
1091,1
536,0
1301,0
2019,0
1182,0
661,1
1071,1
189,0
501,0
745,1
1125,1
1704,0
341,1
815,0
233,1
840,1
809,0
1120,1
589,1
1192,0
1673,0
2197,0
369,0
767,0
687,0
241,0
402,0
651,1
618,0
963,1
551,0
671,1
915,1
597,1
1314,1
587,0
1203,1
152,1
994,1
767,1
2243,0
295,1
364,1
2297,0
1995,0
702,1
1832,0
317,1
1120,0
1086,0
673,0
777,0
1423,0
1473,0
1137,1
1376,0
754,1
284,1
1312,1
846,0
669,0
832,0
884,1
1316,1
34,0
1249,0
2210,0
321,1
1251,1
268,0
41,0
464,0
69,0
992,0
306,1
213,0
108,0
215,0
512,1
874,1
846,1
28,1
1604,0
1520,0
499,0
449,0
116,0
1040,1
1092,1
1761,0
1484,0
760,0
1140,1
395,1
1142,0
1586,0
1092,0
300,1
2192,0
830,1
1748,0
269,1
1294,1
1231,0
701,1
326,1
1439,0
928,1
398,0
145,0
1670,0
428,1
2253,0
1009,1
986,0
270,0
1382,0
924,0
204,1
540,0
1491,0
1522,0
1113,1
199,1
298,0
838,0
2366,0
302,0
982,0
1123,0
1183,1
60,0
1133,1
1061,0
664,1
712,1
1813,0
820,0
1743,0
977,0
909,0
689,1
759,0
2375,0
761,0
2128,0
309,1
120,0
1314,0
988,0
1669,0
1162,1
1272,1
1007,0
1959,0
1057,1
1707,0
580,1
1387,0
1066,1
557,1
499,1
1440,0
854,1
252,0
1135,1
372,0
2189,0
1184,1
794,0
198,1
1296,0
1821,0
330,1
1218,1
826,0
1336,0
123,1
2010,0
1270,0
1413,0
358,0
665,1
396,0
367,1
752,1
1214,0
416,1
1789,0
2067,0
1193,1
322,0
1016,1
2154,0
1767,0
494,1
19,1
332,1
35,0
1632,0
376,1
66,1
144,1
72,0
959,1
649,1
658,0
263,0
2261,0
946,1
1330,0
1042,1
1588,0
1518,0
2248,0
1230,1
1849,0
1817,0
1699,0
2358,0
1185,1
769,0
1232,1
484,1
40,1
1277,0
829,1
637,1
1190,0
483,1
1667,0
9,0
1759,0
368,0
2288,0
2118,0
721,1
138,0
117,1
103,1
1035,0
1852,0
373,0
2381,0
2204,0
1477,0
48,0
533,0
1194,0
1055,0
124,0
1288,1
1829,0
400,0
1197,0
8,0
59,1
1319,1
717,1
994,0
410,1
255,0
1860,0
506,0
2152,0
1769,0
598,0
5,0
2245,0
755,0
1331,0
188,1
1447,0
2201,0
1069,1
289,1
1339,0
206,1
1890,0
1078,1
504,1
337,1
1348,0
1049,1
603,1
1912,0
979,0
477,1
222,0
972,1
981,1
795,1
171,0
16,1
594,1
121,1
202,1
2336,0
1070,1
1265,0
604,1
646,1
2347,0
2094,0
560,1
496,0
239,0
1456,0
242,0
897,0
448,0
2061,0
679,0
532,0
1727,0
1286,1
653,0
1850,0
1193,0
854,0
771,0
606,1
1396,0
641,0
493,1
960,0
2034,0
651,0
451,0
2383,0
1263,1
1165,1
1153,1
84,0
996,0
1236,1
945,1
976,0
1094,0
877,0
2025,0
1039,1
857,0
1267,1
1280,1
1088,0
1116,0
157,1
555,1
962,0
285,0
1197,1
246,0
263,1
983,1
619,1
968,1
1309,0
484,0
869,0
643,0
